ticker,R,start,end,break_date,year,base_len,dir,confirmed,delisted,break_close,base_hi,base_lo,range_ratio,drift,pos_in_band,rsi_end,vol_contraction,prior_dd,above_ma200,phaseB_weeks,break_bar_pct,mad_med,cv,mid_share,pre_vol,spring,b_idx,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,pos_L8,ma_L8,slope_L8,rsi_L8,hl_L8,wk_since_low_L8,pos_L13,ma_L13,slope_L13,rsi_L13,hl_L13,wk_since_low_L13,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52,gallery_set,asof,close,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,state_now,rsi_h1_now,rsi_h2_now,px_h2_over_h1_now,wk_h1_h2_now,wk_since_h2_now,rsi_slope26,px_slope26
PPC,1.5,2013-06-07,2014-03-07,2014-03-14,2014.0,40,UP,True,False,12.26,11.81,8.15,1.45,0.27,1.0,65.2,0.47,0.06,True,38.0,3.7,0.0365,0.0762,0.75,0.067,False,271.0,0.0343,0.0278,0.94,0.91,0.54,0.03,0.72,False,-0.059,59.7,0.0,29.0,0.66,False,-0.004,59.7,0.0,24.0,27.5,False,21.9,15.6,23.2,0.0,61.4,False,52.6,44.1,48.6,0.0,55.0,False,41.3,25.5,34.9,0.0,tight_up,,,,,,,,,,,,,,,,
SHOO,1.5,2022-10-07,2023-12-08,2023-12-15,2023.0,62,UP,True,False,39.66,36.69,25.08,1.46,0.3,1.0,64.5,1.24,-0.44,True,62.0,8.1,0.0443,0.073,0.839,0.0528,True,780.0,0.0661,0.0451,1.49,0.85,0.84,0.05,0.54,True,0.022,47.0,0.0,53.0,0.71,False,-0.003,50.6,0.0,48.0,-0.9,False,-9.9,-26.8,-8.2,-3.0,4.5,False,-11.5,-50.3,-14.1,-6.9,5.5,False,-24.5,-38.7,-26.3,-6.9,tight_up,,,,,,,,,,,,,,,,
ECHO,1.5,2009-08-14,2011-01-07,2011-01-14,2011.0,74,UP,True,False,21.74,20.64,14.47,1.43,0.3,1.0,76.2,0.36,0.03,True,67.0,5.3,0.0255,0.0644,0.419,0.0497,False,106.0,0.0352,0.029,1.38,1.21,0.51,0.05,0.83,False,-0.002,58.1,2.0,58.0,0.5,False,-0.028,49.9,1.0,53.0,36.1,False,33.5,35.3,36.6,0.0,36.6,False,33.8,40.3,34.8,0.0,-15.1,False,-16.8,-22.2,-18.0,-23.6,tight_up,,,,,,,,,,,,,,,,
UI,1.5,2012-07-20,2013-01-25,2013-02-01,2013.0,28,UP,True,False,12.87,11.78,7.87,1.5,0.23,0.75,43.6,0.28,-0.75,,24.0,19.0,0.0237,0.0844,0.143,0.0997,False,68.0,0.0148,0.0199,0.62,0.4,0.24,0.04,0.74,False,-0.02,42.5,0.0,15.0,0.8,False,-0.297,42.1,0.0,10.0,17.8,False,10.6,10.1,10.9,-5.9,49.4,False,35.3,38.4,35.0,-5.9,195.3,False,175.1,175.8,166.3,-5.9,tight_up,,,,,,,,,,,,,,,,
MZTI,1.5,2016-02-19,2018-07-27,2018-08-03,2018.0,128,UP,True,False,124.76,122.59,82.08,1.49,0.26,1.0,75.7,0.71,-0.15,True,127.0,1.8,0.0364,0.0718,0.805,0.0328,False,500.0,0.0252,0.06,0.69,0.94,1.11,0.05,0.69,False,-0.01,53.0,2.0,118.0,0.72,False,-0.045,56.7,2.0,113.0,14.0,False,17.7,24.4,19.7,-0.8,7.2,False,11.0,14.6,13.8,-0.8,5.5,False,0.2,-1.8,0.5,-1.2,tight_up,,,,,,,,,,,,,,,,
SIG,1.5,2010-10-01,2012-02-17,2012-02-24,2012.0,73,UP,True,False,37.61,37.16,24.88,1.49,0.32,0.98,58.1,1.34,-0.06,True,27.0,1.7,0.0451,0.1013,0.37,0.0477,False,164.0,0.0081,0.0239,0.18,1.15,0.95,0.0,0.75,True,0.073,54.0,2.0,18.0,0.83,False,-0.067,57.8,2.0,13.0,-7.5,False,-4.4,0.9,-4.7,-7.9,-2.4,False,-6.8,-0.2,-9.6,-12.1,26.2,False,12.8,19.4,19.9,-12.1,tight_up,,,,,,,,,,,,,,,,
DCOM,1.5,2015-09-25,2016-12-09,2016-12-16,2016.0,64,UP,True,False,25.06,24.4,16.32,1.5,0.26,1.0,79.7,1.31,-0.06,True,63.0,2.7,0.0337,0.0662,0.719,0.0317,False,415.0,0.0913,0.0194,2.71,1.6,1.06,0.03,0.58,True,0.01,44.9,0.0,54.0,0.81,False,-0.005,53.5,0.0,49.0,-4.2,False,-10.0,-14.7,-14.5,-6.0,-9.3,False,-18.1,-27.0,-25.4,-13.6,0.1,False,-20.6,-38.7,-32.6,-17.2,tight_up,,,,,,,,,,,,,,,,
ARAY,1.5,2010-04-16,2011-01-28,2011-02-04,2011.0,42,UP,True,False,9.35,8.91,5.96,1.49,0.18,1.0,73.3,1.5,-0.25,True,29.0,4.9,0.0477,0.078,0.286,0.0663,True,109.0,0.0103,0.0563,0.22,0.78,0.72,0.0,0.02,False,-0.048,44.8,0.0,20.0,0.61,False,-0.003,54.1,0.0,15.0,-14.7,False,-17.4,-17.6,-16.7,-14.7,-37.2,False,-29.6,-20.8,-31.4,-37.2,-33.2,False,-37.9,-46.0,-42.2,-61.5,tight_up,,,,,,,,,,,,,,,,
BX,1.5,2020-03-27,2020-11-27,2020-12-04,2020.0,36,UP,True,False,50.58,49.35,33.23,1.48,0.37,1.0,62.6,0.53,-0.34,True,35.0,2.5,0.0394,0.0716,0.75,0.0544,False,622.0,0.0236,0.0355,0.6,0.79,0.72,0.06,0.72,True,0.001,51.8,0.0,26.0,0.68,True,0.124,49.9,0.0,21.0,7.9,False,3.7,2.9,6.7,0.0,53.7,False,38.6,38.3,43.5,0.0,126.2,False,101.8,87.9,100.1,0.0,tight_up,,,,,,,,,,,,,,,,
TCOM,1.5,2022-12-02,2024-02-16,2024-02-23,2024.0,64,UP,True,False,47.11,41.05,31.34,1.31,0.07,1.0,63.7,0.47,-0.27,True,39.0,14.8,0.0453,0.0626,0.672,0.0839,False,790.0,0.03,0.0447,0.66,0.85,0.54,0.03,0.32,False,-0.092,48.3,0.0,30.0,0.44,False,-0.032,50.3,1.0,25.0,11.4,False,6.9,-5.7,6.4,-8.3,-10.9,False,-22.3,-30.0,-21.1,-16.9,41.6,False,21.9,21.2,20.4,-16.9,tight_up,,,,,,,,,,,,,,,,
BBWI,1.5,2013-07-26,2014-11-07,2014-11-14,2014.0,68,UP,True,False,40.85,39.86,26.63,1.5,0.4,1.0,78.2,0.5,0.01,True,41.0,2.5,0.0434,0.0858,0.588,0.0305,False,306.0,0.0173,0.033,0.4,1.38,1.42,0.03,1.0,True,0.084,66.1,0.0,32.0,1.0,True,0.058,63.8,1.0,27.0,22.5,False,19.2,13.4,18.6,0.0,17.5,False,12.5,7.2,10.7,0.0,22.1,False,21.0,20.3,14.6,0.0,tight_up,,,,,,,,,,,,,,,,
SBAC,1.5,2010-06-11,2012-03-09,2012-03-16,2012.0,92,UP,True,False,45.23,44.98,30.09,1.49,0.34,1.0,76.4,0.62,-0.09,True,89.0,0.5,0.043,0.0824,0.663,0.0439,False,167.0,0.0179,0.0365,0.42,1.33,0.98,0.03,1.0,True,0.123,66.9,2.0,80.0,0.67,True,0.025,57.9,1.0,75.0,7.6,False,11.5,16.6,12.7,-0.1,19.2,False,13.7,23.1,13.5,-0.1,42.6,False,29.1,37.7,38.3,-0.1,tight_up,,,,,,,,,,,,,,,,
